FIPS,X,Y,Year,SMOKING,POVERTY,PM25,NO2,SO2,RATE
5119,334765.1331,1307555.833,2001,25.8,12.9,12.73,1.55,0.035,81.54
5121,442039.221,1488555.733,2001,31.1,18.4,12.31,1.16,0.018,85.95
5123,474973.4109,1342390.793,2001,31.1,26.9,13.98,1.93,0.023,83.69
5125,302180.008,1292556.533,2001,28.4,9.2,12.2,1.04,0.029,73.59
5127,175621.6712,1313055.744,2001,31.9,20.3,10.22,0.71,0.013,85.41
5129,295163.9777,1433919.742,2001,31.9,26.2,10.09,0.6,0.007,88.45
5131,155813.0466,1350516.749,2001,29.1,14.1,10.92,1.38,0.012,80.79
5133,161324.8127,1216143.217,2001,30.1,19.1,10.97,1.29,0.036,83.54
5135,402854.2096,1466357.015,2001,30.3,21.6,10.89,1.0,0.02,76.38
5137,343883.5923,1430021.734,2001,30.4,20.8,10.36,0.58,0.015,77.87
5139,315228.8032,1128070.39,2001,28.7,16.8,12.12,1.18,0.013,93.5
5141,312908.4832,1397513.836,2001,29.7,18.6,11.07,0.67,0.012,72.17
5143,159433.1948,1437877.144,2001,26.0,14.1,10.88,0.83,0.011,74.71
5145,383682.6063,1364050.577,2001,27.5,15.9,12.78,1.36,0.027,91.45
5147,429367.2299,1358372.258,2001,31.0,24.3,13.6,1.58,0.025,101.88
5149,234284.15,1330289.996,2001,31.7,16.6,11.12,1.43,0.01,91.47
6001,-2234722.915,1929488.249,2001,18.7,8.8,9.07,8.29,0.0,55.79
6003,-2033713.929,1985978.13,2001,22.4,15.7,6.11,0.26,0.0,62.64
6005,-2107443.207,1987762.827,2001,23.3,10.1,7.44,0.74,0.0,63.83
6007,-2150252.492,2140994.288,2001,23.0,16.7,6.68,1.13,0.0,68.76
6009,-2106250.83,1959391.645,2001,22.6,10.2,8.36,0.7,0.0,59.63
6011,-2217214.631,2102795.251,2001,24.2,14.9,6.97,1.18,0.0,60.95
6013,-2229816.674,1959878.901,2001,18.6,6.5,9.45,7.77,0.0,53.39
6015,-2270489.272,2417815.955,2001,28.8,21.6,3.09,0.38,0.0,85.6
6017,-2087339.323,2020989.03,2001,20.6,7.3,6.45,0.55,0.0,55.51
6019,-2070617.273,1782733.704,2001,20.3,20.8,12.23,1.22,0.0,53.38
6021,-2217111.972,2151816.274,2001,25.6,17.1,6.35,0.85,0.0,69.46
6023,-2302676.8,2305251.467,2001,24.1,15.8,3.54,0.47,0.0,69.78
6025,-1785154.0,1290267.036,2001,19.4,24.2,7.59,0.9,0.001,53.03
6027,-1883524.089,1709044.101,2001,24.8,10.8,5.95,0.44,0.0,60.54
6029,-2028665.795,1609051.393,2001,23.8,18.6,8.84,1.5,0.0,64.84
6031,-2103384.742,1712092.444,2001,22.1,20.8,14.55,2.26,0.0,56.38
6033,-2262141.278,2106544.859,2001,27.8,16.2,4.62,0.7,0.0,85.85
6035,-2038744.849,2227611.966,2001,26.3,17.5,4.96,0.37,0.0,60.87
6037,-2011057.099,1487036.091,2001,19.4,16.3,11.38,6.53,0.0,48.12
6039,-2067279.165,1835026.141,2001,23.3,21.2,12.21,1.59,0.0,51.61
6041,-2291618.459,1995396.41,2001,17.0,6.3,6.26,4.16,0.0,46.09
6043,-2069173.944,1877544.01,2001,22.4,12.7,10.09,0.72,0.0,58.04
6045,-2303830.436,2158440.063,2001,24.6,14.9,3.85,0.6,0.0,65.4
6047,-2149157.533,1853334.408,2001,23.1,19.3,12.14,2.02,0.0,61.61
6049,-2022988.558,2329663.146,2001,26.5,18.3,4.86,0.29,0.0,57.12
6051,-1972999.433,1894718.388,2001,20.4,8.8,6.71,0.34,0.0,41.68
6053,-2221864.764,1759813.569,2001,20.7,13.2,7.01,1.58,0.0,48.92
6055,-2245548.226,2032658.383,2001,22.2,7.3,6.83,2.86,0.0,59.36
6057,-2092539.079,2082986.468,2001,20.5,8.1,6.06,0.6,0.0,50.47
6059,-1985466.246,1410112.568,2001,17.4,9.8,13.93,7.19,0.0,49.57
6061,-2095275.292,2056117.271,2001,19.1,5.5,6.89,1.15,0.0,55.65
6063,-2077853.747,2160535.286,2001,23.1,10.8,5.12,0.55,0.0,68.42
6065,-1825723.965,1379416.512,2001,20.9,12.7,8.12,2.02,0.001,57.12
6067,-2165232.168,2003551.843,2001,21.5,12.1,10.05,4.53,0.0,64.49
6069,-2196530.098,1798016.409,2001,19.6,8.9,7.69,1.71,0.0,47.4
6071,-1816367.501,1502728.206,2001,22.7,15.2,7.03,1.08,0.003,61.03
6073,-1909574.87,1316234.036,2001,17.8,10.9,8.6,2.68,0.0,54.96
6075,-2277693.471,1954457.212,2001,19.0,9.8,9.78,8.41,0.0,51.28
6077,-2174263.412,1946260.784,2001,22.9,14.4,10.52,4.19,0.0,64.62
6079,-2173681.929,1650773.455,2001,20.1,10.9,7.45,0.75,0.0,53.64
6081,-2278620.286,1915808.368,2001,17.6,5.4,7.31,5.36,0.0,48.37
6083,-2159883.062,1564375.929,2001,19.1,12.3,6.7,1.84,0.0,46.65
6085,-2230823.065,1880148.094,2001,16.0,6.8,7.92,6.59,0.0,43.29
6087,-2262112.52,1868462.954,2001,18.2,10.5,7.39,4.51,0.0,47.92
6089,-2153086.26,2269411.386,2001,26.1,13.8,4.63,0.71,0.0,74.63
6091,-2063687.245,2107644.402,2001,23.4,10.0,5.28,0.4,0.0,58.19
6093,-2167666.291,2370091.862,2001,24.2,16.2,4.02,0.43,0.0,68.16
6095,-2219662.938,1997853.508,2001,22.1,8.1,9.53,5.49,0.0,64.44
6097,-2291018.826,2048296.819,2001,21.4,7.3,5.42,1.94,0.0,59.11
6099,-2162312.621,1899377.574,2001,23.8,14.0,11.08,2.5,0.0,63.49
6101,-2176828.727,2074846.581,2001,24.6,13.9,8.7,3.49,0.0,65.25
6103,-2188079.389,2205051.276,2001,26.5,17.0,5.68,1.0,0.0,76.06
6105,-2242989.009,2281865.2,2001,25.2,17.1,4.02,0.5,0.0,75.57
6107,-2011603.864,1705935.249,2001,21.5,23.2,10.56,1.21,0.0,57.41
6109,-2060895.501,1927044.916,2001,24.7,12.2,7.92,0.41,0.0,61.72
6111,-2083748.361,1520098.026,2001,19.0,9.1,9.12,5.81,0.0,49.68
6113,-2204404.971,2042041.544,2001,19.8,11.7,8.74,4.21,0.0,61.27
6115,-2141537.715,2092413.039,2001,26.5,18.7,7.49,1.74,0.0,88.18
